                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5026,                 1.8733,                0.97381,                0.04342,                 0.5367,                0.29807,                0.17918,                 1.2915,                 2.3094,                0.92446,             0.00046889,             0.00046889,             0.00046889
                      2,                 1.3677,                0.99244,                0.94201,                0.61794,                0.31467,                0.31982,                0.19536,                 1.2685,                 1.1609,                0.93078,             0.00092651,             0.00092651,             0.00092651
                      3,                 1.3601,                 0.9291,                0.94409,                0.45854,                0.44676,                0.43848,                0.25704,                 1.2984,                 0.9268,                0.93075,              0.0013653,              0.0013653,              0.0013653
                      4,                 1.3499,                0.84657,                0.93901,                0.69135,                0.50161,                0.56716,                0.33505,                 1.2222,                0.77076,                0.91326,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3038,                 0.7991,                 0.9298,                0.73999,                0.58918,                0.62699,                  0.365,                 1.2446,                0.70451,                0.92296,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.2885,                0.75998,                0.92428,                0.71974,                 0.5502,                0.63543,                 0.3768,                 1.2233,                0.73554,                0.91595,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.3018,                0.73989,                 0.9287,                0.71524,                0.63469,                0.66383,                0.40618,                 1.1843,                 0.6658,                0.91212,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.2663,                 0.7241,                0.92334,                0.80548,                0.62369,                0.68868,                0.38535,                 1.2703,                0.68044,                0.92301,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2345,                0.69091,                0.91651,                0.81936,                0.62044,                0.69922,                0.40998,                  1.182,                0.65263,                0.90177,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2399,                0.67875,                0.91424,                0.82807,                0.63861,                0.70657,                 0.4012,                  1.277,                0.66668,                 0.9219,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.2325,                0.67036,                0.91252,                0.80297,                0.63993,                0.70449,                0.40349,                 1.2682,                0.65109,                0.92095,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.2394,                0.66895,                0.91504,                0.80257,                0.64743,                0.71029,                0.42088,                 1.1824,                0.62348,                0.90358,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.2313,                0.65173,                0.91188,                0.83938,                0.67564,                0.74031,                0.43492,                 1.2215,                0.60701,                0.90875,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.2013,                0.63892,                0.91006,                0.84807,                0.66865,                0.73414,                 0.4543,                 1.1317,                0.58226,                0.89595,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.2236,                0.64015,                 0.9103,                0.82111,                 0.6658,                0.71632,                0.44275,                  1.136,                 0.5891,                 0.9012,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1788,                0.61835,                 0.9015,                0.81713,                 0.6821,                0.73598,                0.44301,                 1.1391,                0.58522,                0.90088,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1884,                0.61927,                0.90384,                0.84223,                0.68667,                0.73927,                0.45581,                 1.1232,                0.55781,                0.89456,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.1749,                0.60515,                0.90007,                0.84354,                0.66547,                0.73065,                0.44384,                 1.1649,                0.58244,                0.90314,               0.000948,               0.000948,               0.000948
                     19,                 1.1726,                0.59521,                0.89968,                0.87481,                0.69243,                0.75656,                0.45974,                 1.1503,                0.56526,                0.89854,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.1789,                0.60485,                 0.8995,                0.81401,                0.69531,                0.73905,                0.44686,                 1.1564,                0.59199,                0.90096,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.1773,                0.60653,                0.90187,                0.85764,                0.70264,                0.75763,                 0.4757,                 1.1089,                0.53952,                0.89192,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.1485,                0.58111,                0.89578,                0.82843,                0.68226,                0.73672,                0.46553,                 1.1089,                0.55019,                0.89231,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.1397,                0.57059,                0.89187,                0.83833,                0.69832,                0.74363,                0.46181,                 1.1276,                0.55868,                 0.8918,             0.00080653,             0.00080653,             0.00080653
                     24,                  1.154,                0.57965,                0.89556,                0.85524,                0.68032,                 0.7461,                0.46278,                 1.1322,                  0.552,                0.89505,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.1446,                0.57098,                0.89584,                0.83657,                0.70468,                0.75657,                0.47062,                 1.1261,                0.53435,                0.89458,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.1518,                0.57012,                0.89175,                   0.84,                0.70471,                0.75412,                0.46404,                 1.1108,                0.54798,                0.89095,             0.00072164,             0.00072164,             0.00072164
